Segment,Vehicle_ID,Type,Direction,Video_Time
2,229,motorbike,Down,60.24
2,232,motorbike,Down,60.72
2,207,car,Up,60.72
2,231,motorbike,Down,60.86
2,218,car,Up,60.92
2,234,motorbike,Down,61.38
2,239,motorbike,Down,61.88
2,245,motorbike,Down,62.68
2,246,motorbike,Up,62.76
2,236,car,Up,63.06
2,250,car,Up,63.64
2,249,motorbike,Down,64.12
2,252,motorbike,Up,64.36
2,257,motorbike,Up,64.56
2,254,motorbike,Up,64.56
2,259,motorbike,Up,64.92
2,247,car,Up,65.36
2,263,car,Up,66.08
2,267,motorbike,Down,67.14
2,270,motorbike,Up,67.48
2,275,motorbike,Down,68.2
2,284,motorbike,Down,69.06
2,262,car,Up,69.34
2,265,car,Up,70.66
2,291,car,Down,71.36
2,283,car,Up,72.84
2,299,motorbike,Up,75.0
2,301,car,Up,77.76
2,294,car,Up,78.3
2,303,motorbike,Down,78.96
2,313,motorbike,Down,79.02
2,314,motorbike,Down,79.06
2,317,motorbike,Down,79.46
2,319,motorbike,Up,79.64
2,316,car,Down,80.26
2,315,motorbike,Up,80.66
2,333,motorbike,Up,84.42
2,332,motorbike,Up,84.96
2,335,motorbike,Down,85.16
2,327,car,Up,86.7
2,341,motorbike,Up,87.38
2,349,motorbike,Up,89.52
2,329,car,Up,90.88
2,350,motorbike,Down,91.0
2,356,motorbike,Down,91.38
2,344,car,Up,93.34
2,355,car,Up,95.02
2,360,car,Down,95.2
2,369,car,Up,96.4
2,366,motorbike,Down,96.62
2,372,motorbike,Down,97.3
2,375,car,Down,98.5
2,384,motorbike,Down,100.1
2,394,motorbike,Down,100.78
2,389,motorbike,Down,100.78
2,392,motorbike,Down,100.84
2,373,car,Up,101.04
2,395,motorbike,Down,101.14
2,402,motorbike,Down,103.38
2,399,car,Up,103.88
2,404,motorbike,Up,105.16
2,374,car,Up,107.02
2,409,car,Down,110.08
2,413,motorbike,Up,110.26
2,406,car,Up,111.08
2,418,motorbike,Up,111.56
2,419,motorbike,Up,111.76
2,422,motorbike,Up,112.68
2,421,motorbike,Up,112.88
2,420,car,Down,112.92
2,424,motorbike,Up,113.0
2,415,car,Up,113.1
2,427,car,Up,113.74
2,431,motorbike,Up,114.88
2,432,motorbike,Up,114.94
2,433,motorbike,Up,115.8
2,434,motorbike,Down,116.06
2,439,motorbike,Down,117.22
2,425,car,Up,118.18
2,443,motorbike,Down,118.24
2,441,car,Up,119.32
